impact,status,family,tokens,slug,sample_url
6,GAP,B_hook_cat_intent,viral twerk near-me,viral-twerk-near-me,/viral-twerk-near-me.html
6,NEAR,C_geo_hook_cat,america best twerk,america-best-twerk,/america-best-twerk.html
6,GAP,C_geo_hook_cat,america exclusive twerk,america-exclusive-twerk,/america-exclusive-twerk.html
6,GAP,C_geo_hook_cat,america hot twerk,america-hot-twerk,/america-hot-twerk.html
6,NEAR,C_geo_hook_cat,america top twerk,america-top-twerk,/america-top-twerk.html
6,GAP,C_geo_hook_cat,america viral twerk,america-viral-twerk,/america-viral-twerk.html
6,NEAR,C_geo_hook_cat,california best twerk,california-best-twerk,/california-best-twerk.html
6,GAP,C_geo_hook_cat,california exclusive twerk,california-exclusive-twerk,/california-exclusive-twerk.html
6,GAP,C_geo_hook_cat,california hot twerk,california-hot-twerk,/california-hot-twerk.html
6,NEAR,C_geo_hook_cat,california top twerk,california-top-twerk,/california-top-twerk.html
6,GAP,C_geo_hook_cat,california viral twerk,california-viral-twerk,/california-viral-twerk.html
6,NEAR,C_geo_hook_cat,los-angeles best twerk,los-angeles-best-twerk,/los-angeles-best-twerk.html
6,GAP,C_geo_hook_cat,los-angeles exclusive twerk,los-angeles-exclusive-twerk,/los-angeles-exclusive-twerk.html
6,GAP,C_geo_hook_cat,los-angeles hot twerk,los-angeles-hot-twerk,/los-angeles-hot-twerk.html
6,NEAR,C_geo_hook_cat,los-angeles top twerk,los-angeles-top-twerk,/los-angeles-top-twerk.html
6,GAP,C_geo_hook_cat,los-angeles viral twerk,los-angeles-viral-twerk,/los-angeles-viral-twerk.html
6,NEAR,C_geo_hook_cat,miami best twerk,miami-best-twerk,/miami-best-twerk.html
6,GAP,C_geo_hook_cat,miami exclusive twerk,miami-exclusive-twerk,/miami-exclusive-twerk.html
6,GAP,C_geo_hook_cat,miami hot twerk,miami-hot-twerk,/miami-hot-twerk.html
6,NEAR,C_geo_hook_cat,miami top twerk,miami-top-twerk,/miami-top-twerk.html
6,GAP,C_geo_hook_cat,miami viral twerk,miami-viral-twerk,/miami-viral-twerk.html
6,NEAR,C_geo_hook_cat,new-york best twerk,new-york-best-twerk,/new-york-best-twerk.html
6,GAP,C_geo_hook_cat,new-york exclusive twerk,new-york-exclusive-twerk,/new-york-exclusive-twerk.html
6,GAP,C_geo_hook_cat,new-york hot twerk,new-york-hot-twerk,/new-york-hot-twerk.html
6,NEAR,C_geo_hook_cat,new-york top twerk,new-york-top-twerk,/new-york-top-twerk.html
6,GAP,C_geo_hook_cat,new-york viral twerk,new-york-viral-twerk,/new-york-viral-twerk.html
6,NEAR,C_geo_hook_cat,united-states best twerk,united-states-best-twerk,/united-states-best-twerk.html
6,GAP,C_geo_hook_cat,united-states exclusive twerk,united-states-exclusive-twerk,/united-states-exclusive-twerk.html
6,GAP,C_geo_hook_cat,united-states hot twerk,united-states-hot-twerk,/united-states-hot-twerk.html
6,NEAR,C_geo_hook_cat,united-states top twerk,united-states-top-twerk,/united-states-top-twerk.html
6,GAP,C_geo_hook_cat,united-states viral twerk,united-states-viral-twerk,/united-states-viral-twerk.html
6,NEAR,C_geo_hook_cat,usa best twerk,usa-best-twerk,/usa-best-twerk.html
6,GAP,C_geo_hook_cat,usa exclusive twerk,usa-exclusive-twerk,/usa-exclusive-twerk.html
6,GAP,C_geo_hook_cat,usa hot twerk,usa-hot-twerk,/usa-hot-twerk.html
6,NEAR,C_geo_hook_cat,usa top twerk,usa-top-twerk,/usa-top-twerk.html
6,GAP,C_geo_hook_cat,usa viral twerk,usa-viral-twerk,/usa-viral-twerk.html
5,GAP,A_geo_cat_intent,america choreography near-me,america-choreography-near-me,/america-choreography-near-me.html
5,GAP,A_geo_cat_intent,america cosplay-fancam near-me,america-cosplay-fancam-near-me,/america-cosplay-fancam-near-me.html
5,GAP,A_geo_cat_intent,america dance-battle near-me,america-dance-battle-near-me,/america-dance-battle-near-me.html
5,GAP,A_geo_cat_intent,america dance-tutorial near-me,america-dance-tutorial-near-me,/america-dance-tutorial-near-me.html
5,GAP,A_geo_cat_intent,america dembow near-me,america-dembow-near-me,/america-dembow-near-me.html
5,GAP,A_geo_cat_intent,america fancam-4k near-me,america-fancam-4k-near-me,/america-fancam-4k-near-me.html
5,GAP,A_geo_cat_intent,america heels-choreo near-me,america-heels-choreo-near-me,/america-heels-choreo-near-me.html
5,GAP,A_geo_cat_intent,america k-pop-twerk near-me,america-k-pop-twerk-near-me,/america-k-pop-twerk-near-me.html
5,GAP,A_geo_cat_intent,america perreo near-me,america-perreo-near-me,/america-perreo-near-me.html
5,GAP,A_geo_cat_intent,america reggaeton near-me,america-reggaeton-near-me,/america-reggaeton-near-me.html
5,GAP,A_geo_cat_intent,america try-on-haul near-me,america-try-on-haul-near-me,/america-try-on-haul-near-me.html
5,NEAR,A_geo_cat_intent,america twerk 2026,america-twerk-2026,/america-twerk-2026.html
5,GAP,A_geo_cat_intent,america twerk community,america-twerk-community,/america-twerk-community.html
5,NEAR,A_geo_cat_intent,america twerk compilation,america-twerk-compilation,/america-twerk-compilation.html
5,NEAR,A_geo_cat_intent,america twerk creators,america-twerk-creators,/america-twerk-creators.html
5,GAP,A_geo_cat_intent,america twerk full-video,america-twerk-full-video,/america-twerk-full-video.html
5,NEAR,A_geo_cat_intent,america twerk playlist,america-twerk-playlist,/america-twerk-playlist.html
5,GAP,A_geo_cat_intent,america workout near-me,america-workout-near-me,/america-workout-near-me.html
5,GAP,A_geo_cat_intent,atlanta twerk classes,atlanta-twerk-classes,/atlanta-twerk-classes.html
5,NEAR,A_geo_cat_intent,atlanta twerk dancers,atlanta-twerk-dancers,/atlanta-twerk-dancers.html
5,NEAR,A_geo_cat_intent,atlanta twerk studios,atlanta-twerk-studios,/atlanta-twerk-studios.html
5,NEAR,A_geo_cat_intent,atlanta twerk tutorial,atlanta-twerk-tutorial,/atlanta-twerk-tutorial.html
5,GAP,A_geo_cat_intent,birmingham twerk classes,birmingham-twerk-classes,/birmingham-twerk-classes.html
5,NEAR,A_geo_cat_intent,birmingham twerk dancers,birmingham-twerk-dancers,/birmingham-twerk-dancers.html
5,NEAR,A_geo_cat_intent,birmingham twerk studios,birmingham-twerk-studios,/birmingham-twerk-studios.html
5,NEAR,A_geo_cat_intent,birmingham twerk tutorial,birmingham-twerk-tutorial,/birmingham-twerk-tutorial.html
5,GAP,A_geo_cat_intent,britain twerk classes,britain-twerk-classes,/britain-twerk-classes.html
5,NEAR,A_geo_cat_intent,britain twerk dancers,britain-twerk-dancers,/britain-twerk-dancers.html
5,NEAR,A_geo_cat_intent,britain twerk studios,britain-twerk-studios,/britain-twerk-studios.html
5,NEAR,A_geo_cat_intent,britain twerk tutorial,britain-twerk-tutorial,/britain-twerk-tutorial.html
5,GAP,A_geo_cat_intent,california choreography near-me,california-choreography-near-me,/california-choreography-near-me.html
5,GAP,A_geo_cat_intent,california cosplay-fancam near-me,california-cosplay-fancam-near-me,/california-cosplay-fancam-near-me.html
5,GAP,A_geo_cat_intent,california dance-battle near-me,california-dance-battle-near-me,/california-dance-battle-near-me.html
5,GAP,A_geo_cat_intent,california dance-tutorial near-me,california-dance-tutorial-near-me,/california-dance-tutorial-near-me.html
5,GAP,A_geo_cat_intent,california dembow near-me,california-dembow-near-me,/california-dembow-near-me.html
5,GAP,A_geo_cat_intent,california fancam-4k near-me,california-fancam-4k-near-me,/california-fancam-4k-near-me.html
5,GAP,A_geo_cat_intent,california heels-choreo near-me,california-heels-choreo-near-me,/california-heels-choreo-near-me.html
5,GAP,A_geo_cat_intent,california k-pop-twerk near-me,california-k-pop-twerk-near-me,/california-k-pop-twerk-near-me.html
5,GAP,A_geo_cat_intent,california perreo near-me,california-perreo-near-me,/california-perreo-near-me.html
5,GAP,A_geo_cat_intent,california reggaeton near-me,california-reggaeton-near-me,/california-reggaeton-near-me.html
